cat	position	events
3	0	4
3	2	2
3	3	2
3	4	2
3	6	4
3	9	2
3	10	2
3	12	4
3	14	2
3	15	2
3	16	2
3	18	4
3	20	2
3	21	2
3	22	2
3	24	4
3	26	2
3	27	2
3	28	2
3	30	4
3	33	2
3	34	2
3	36	4
3	38	2
3	39	2
3	40	2
3	42	4
3	44	2
3	45	2
3	46	2
2	0	4
2	2	2
2	3	2
2	4	2
2	6	2
2	9	2
2	12	4
2	14	2
2	15	2
2	16	2
2	18	4
2	20	2
2	21	2
2	22	2
2	24	4
2	26	2
2	27	2
2	28	2
2	30	2
2	33	2
2	36	4
2	38	2
2	39	2
2	40	2
2	42	4
2	44	2
2	45	2
2	46	2
1	6	2
1	0	2
	1	
	5	
	7	
	8	
	11	
	13	
	17	
	19	
	23	
	25	
	29	
	31	
	32	
	35	
	37	
	41	
	43	
